flight_id,flight_no,scheduled_departure,scheduled_arrival,departure_airport,arrival_airport,status,aircraft_code,actual_departure,actual_arrival
57354,PG0242,"2017-05-18 09:05:00","2017-05-18 09:55:00",CSY,SVO,Arrived,SU9,"2017-05-18 09:06:00","2017-05-18 09:56:00"
15900,PG0408,"2017-05-26 08:55:00","2017-05-26 09:50:00",LED,DME,Arrived,321,"2017-05-26 08:56:00","2017-05-26 09:51:00"
15358,PG0224,"2017-07-21 14:05:00","2017-07-21 15:50:00",SVO,AER,Arrived,773,"2017-07-21 14:06:00","2017-07-21 15:50:00"
60751,PG0522,"2017-07-22 11:10:00","2017-07-22 13:00:00",AER,KUF,Arrived,733,"2017-07-22 11:12:00","2017-07-22 13:01:00"
8962,PG0233,"2017-06-04 09:15:00","2017-06-04 09:40:00",VKO,BZK,Arrived,SU9,"2017-06-04 09:20:00","2017-06-04 09:45:00"
41836,PG0480,"2017-06-17 09:25:00","2017-06-17 10:15:00",AAQ,EGO,Arrived,SU9,"2017-06-17 09:30:00","2017-06-17 10:21:00"
59918,PG0237,"2017-06-19 06:20:00","2017-06-19 06:45:00",BZK,VKO,Arrived,SU9,"2017-06-19 06:25:00","2017-06-19 06:50:00"
60443,PG0649,"2017-06-04 12:35:00","2017-06-04 13:00:00",BZK,EGO,Arrived,SU9,"2017-06-04 12:37:00","2017-06-04 13:02:00"
61953,PG0481,"2017-06-05 10:00:00","2017-06-05 10:50:00",EGO,AAQ,Arrived,SU9,"2017-06-05 10:03:00","2017-06-05 10:53:00"
62038,PG0650,"2017-06-18 10:35:00","2017-06-18 11:00:00",EGO,BZK,Arrived,SU9,"2017-06-18 13:11:00","2017-06-18 13:36:00"
5805,PG0384,"2017-07-17 09:10:00","2017-07-17 09:40:00",DME,BZK,Arrived,SU9,"2017-07-17 09:12:00","2017-07-17 09:41:00"
59537,PG0387,"2017-07-25 14:05:00","2017-07-25 14:35:00",BZK,DME,Arrived,SU9,"2017-07-25 14:10:00","2017-07-25 14:40:00"
820,PG0273,"2017-07-25 06:50:00","2017-07-25 08:50:00",DME,CEK,Arrived,SU9,"2017-07-25 06:52:00","2017-07-25 08:52:00"
23868,PG0274,"2017-08-03 12:50:00","2017-08-03 14:50:00",CEK,DME,Arrived,SU9,"2017-08-03 12:55:00","2017-08-03 14:55:00"
6929,PG0412,"2017-06-16 08:00:00","2017-06-16 09:25:00",VKO,PEE,Arrived,773,"2017-06-16 11:57:00","2017-06-16 13:23:00"
24069,PG0675,"2017-06-25 08:40:00","2017-06-25 09:20:00",CEK,PEE,Arrived,CR2,"2017-06-25 08:44:00","2017-06-25 09:24:00"
28883,PG0413,"2017-06-25 15:55:00","2017-06-25 17:20:00",PEE,VKO,Arrived,773,"2017-06-25 15:59:00","2017-06-25 17:25:00"
29300,PG0676,"2017-06-17 04:05:00","2017-06-17 04:45:00",PEE,CEK,Arrived,CR2,"2017-06-17 04:08:00","2017-06-17 04:48:00"
6865,PG0412,"2017-07-03 08:00:00","2017-07-03 09:25:00",VKO,PEE,Arrived,773,"2017-07-03 08:04:00","2017-07-03 09:30:00"
23979,PG0675,"2017-07-11 08:40:00","2017-07-11 09:20:00",CEK,PEE,Arrived,CR2,"2017-07-11 08:44:00","2017-07-11 09:24:00"
28853,PG0413,"2017-07-11 15:55:00","2017-07-11 17:20:00",PEE,VKO,Arrived,773,"2017-07-11 15:57:00","2017-07-11 17:22:00"
29414,PG0676,"2017-07-04 04:05:00","2017-07-04 04:45:00",PEE,CEK,Arrived,CR2,"2017-07-04 04:11:00","2017-07-04 04:51:00"
5793,PG0384,"2017-05-30 09:10:00","2017-05-30 09:40:00",DME,BZK,Arrived,SU9,"2017-05-30 09:15:00","2017-05-30 09:45:00"
59589,PG0387,"2017-05-21 14:05:00","2017-05-21 14:35:00",BZK,DME,Arrived,SU9,"2017-05-21 14:07:00","2017-05-21 14:37:00"
3556,PG0541,"2017-07-16 08:15:00","2017-07-16 10:25:00",DME,OVS,Arrived,SU9,"2017-07-16 08:18:00","2017-07-16 10:27:00"
28123,PG0689,"2017-07-08 04:25:00","2017-07-08 06:45:00",KJA,OVS,Arrived,SU9,"2017-07-08 04:29:00","2017-07-08 06:48:00"
44805,PG0543,"2017-07-09 04:45:00","2017-07-09 06:55:00",OVS,DME,Arrived,SU9,"2017-07-09 04:48:00","2017-07-09 07:00:00"
45328,PG0690,"2017-07-17 08:25:00","2017-07-17 10:45:00",OVS,KJA,Arrived,SU9,"2017-07-17 11:33:00","2017-07-17 13:55:00"
3649,PG0541,"2017-08-12 08:15:00","2017-08-12 10:25:00",DME,OVS,Arrived,SU9,"2017-08-12 08:18:00","2017-08-12 10:26:00"
28150,PG0689,"2017-08-06 04:25:00","2017-08-06 06:45:00",KJA,OVS,Arrived,SU9,"2017-08-06 04:27:00","2017-08-06 06:49:00"
44689,PG0543,"2017-08-07 04:45:00","2017-08-07 06:55:00",OVS,DME,Arrived,SU9,"2017-08-07 04:47:00","2017-08-07 06:56:00"
45342,PG0690,"2017-08-13 08:25:00","2017-08-13 10:45:00",OVS,KJA,Arrived,SU9,"2017-08-13 08:26:00","2017-08-13 10:47:00"
663,PG0202,"2017-06-16 07:40:00","2017-06-16 08:35:00",DME,KZN,Arrived,321,"2017-06-16 07:41:00","2017-06-16 08:35:00"
22939,PG0203,"2017-06-09 14:45:00","2017-06-09 15:40:00",KZN,DME,Arrived,321,"2017-06-09 14:47:00","2017-06-09 15:42:00"
649,PG0202,"2017-08-03 07:40:00","2017-08-03 08:35:00",DME,KZN,Arrived,321,"2017-08-03 07:41:00","2017-08-03 08:36:00"
23036,PG0203,"2017-07-27 14:45:00","2017-07-27 15:40:00",KZN,DME,Arrived,321,"2017-07-27 14:46:00","2017-07-27 15:41:00"
336,PG0404,"2017-08-09 16:05:00","2017-08-09 17:00:00",DME,LED,Arrived,321,"2017-08-09 19:18:00","2017-08-09 20:13:00"
16085,PG0408,"2017-08-01 08:55:00","2017-08-01 09:50:00",LED,DME,Arrived,321,"2017-08-01 08:57:00","2017-08-01 09:52:00"
756,PG0273,"2017-06-15 06:50:00","2017-06-15 08:50:00",DME,CEK,Arrived,SU9,"2017-06-15 06:52:00","2017-06-15 08:53:00"
23917,PG0274,"2017-06-09 12:50:00","2017-06-09 14:50:00",CEK,DME,Arrived,SU9,"2017-06-09 12:50:00","2017-06-09 14:50:00"
24419,PG0259,"2017-06-17 09:30:00","2017-06-17 12:00:00",CEK,STW,Arrived,CR2,"2017-06-17 12:13:00","2017-06-17 14:45:00"
58690,PG0260,"2017-06-08 11:25:00","2017-06-08 13:55:00",STW,CEK,Arrived,CR2,"2017-06-08 11:31:00","2017-06-08 14:00:00"
15177,PG0159,"2017-06-16 07:40:00","2017-06-16 08:10:00",SVO,BZK,Arrived,SU9,"2017-06-16 07:46:00","2017-06-16 08:16:00"
60108,PG0162,"2017-07-01 16:00:00","2017-07-01 16:30:00",BZK,SVO,Arrived,SU9,"2017-07-01 16:10:00","2017-07-01 16:40:00"
60447,PG0649,"2017-06-16 12:35:00","2017-06-16 13:00:00",BZK,EGO,Arrived,SU9,"2017-06-16 12:38:00","2017-06-16 13:03:00"
62131,PG0650,"2017-07-01 10:35:00","2017-07-01 11:00:00",EGO,BZK,Arrived,SU9,"2017-07-01 10:38:00","2017-07-01 11:03:00"
6457,PG0227,"2017-07-30 06:45:00","2017-07-30 07:35:00",VKO,LED,Arrived,321,"2017-07-30 06:52:00","2017-07-30 07:42:00"
16292,PG0230,"2017-08-08 07:20:00","2017-08-08 08:10:00",LED,VKO,Arrived,321,"2017-08-08 07:21:00","2017-08-08 08:11:00"
18007,PG0571,"2017-07-30 11:50:00","2017-07-30 13:00:00",LED,GOJ,Arrived,SU9,"2017-07-30 11:53:00","2017-07-30 13:03:00"
40600,PG0572,"2017-08-07 16:10:00","2017-08-07 17:20:00",GOJ,LED,Arrived,SU9,"2017-08-07 19:13:00","2017-08-07 20:22:00"
723,PG0202,"2017-05-30 07:40:00","2017-05-30 08:35:00",DME,KZN,Arrived,321,"2017-05-30 07:44:00","2017-05-30 08:39:00"
23553,PG0498,"2017-05-31 07:15:00","2017-05-31 11:55:00",KZN,IKT,Arrived,319,"2017-05-31 07:16:00","2017-05-31 11:57:00"
50175,PG0499,"2017-06-08 10:10:00","2017-06-08 14:50:00",IKT,KZN,Arrived,319,"2017-06-08 10:13:00","2017-06-08 14:56:00"
544,PG0222,"2017-06-18 08:05:00","2017-06-18 11:30:00",DME,OVB,Arrived,773,"2017-06-18 08:08:00","2017-06-18 11:34:00"
4613,PG0208,"2017-06-07 17:40:00","2017-06-08 01:40:00",DME,KHV,Arrived,763,"2017-06-07 17:43:00","2017-06-08 01:43:00"
19469,PG0223,"2017-06-07 08:50:00","2017-06-07 12:15:00",OVB,DME,Arrived,773,"2017-06-07 08:53:00","2017-06-07 12:21:00"
51926,PG0209,"2017-06-17 09:55:00","2017-06-17 17:55:00",KHV,DME,Arrived,763,"2017-06-17 10:00:00","2017-06-17 18:10:00"
9879,PG0470,"2017-07-17 07:20:00","2017-07-17 08:10:00",SVO,LED,Arrived,321,"2017-07-17 07:25:00","2017-07-17 08:14:00"
17032,PG0474,"2017-07-28 12:40:00","2017-07-28 13:30:00",LED,SVO,Arrived,321,"2017-07-28 12:43:00","2017-07-28 13:33:00"
18555,PG0356,"2017-07-17 16:10:00","2017-07-18 00:15:00",LED,KHV,Arrived,763,"2017-07-17 16:12:00","2017-07-18 00:15:00"
52022,PG0357,"2017-07-28 02:05:00","2017-07-28 10:10:00",KHV,LED,Arrived,763,"2017-07-28 02:09:00","2017-07-28 10:08:00"
9419,PG0669,"2017-06-07 13:15:00","2017-06-07 15:45:00",VKO,KRO,Arrived,CR2,"2017-06-07 13:18:00","2017-06-07 15:48:00"
